;Wegvoertuigen per 1 januari|Totaal wegvoertuigen;Wegvoertuigen per 1 januari|Personenauto;Wegvoertuigen per 1 januari|Bedrijfsvoertuigen|Totaal bedrijfsvoertuigen;Wegvoertuigen per 1 januari|Bedrijfsvoertuigen|Bedrijfsmotorvoertuigen|Totaal bedrijfsmotorvoertuigen;Wegvoertuigen per 1 januari|Bedrijfsvoertuigen|Bedrijfsmotorvoertuigen|Bestelauto;Wegvoertuigen per 1 januari|Bedrijfsvoertuigen|Bedrijfsmotorvoertuigen|Vrachtauto (excl. trekker voor oplegger);Wegvoertuigen per 1 januari|Bedrijfsvoertuigen|Bedrijfsmotorvoertuigen|Trekker voor oplegger;Wegvoertuigen per 1 januari|Bedrijfsvoertuigen|Bedrijfsmotorvoertuigen|Speciaal voertuig;Wegvoertuigen per 1 januari|Bedrijfsvoertuigen|Bedrijfsmotorvoertuigen|Bus;Wegvoertuigen per 1 januari|Bedrijfsvoertuigen|Aanhangwagens en opleggers|Totaal aanhangwagens en opleggers;Wegvoertuigen per 1 januari|Bedrijfsvoertuigen|Aanhangwagens en opleggers|Aanhangwagen;Wegvoertuigen per 1 januari|Bedrijfsvoertuigen|Aanhangwagens en opleggers|Oplegger;Wegvoertuigen per 1 januari|Motorfiets;Wegvoertuigen per 1 januari|Voertuigen met bromfietskenteken|Alle voertuigen met bromfietskenteken;Wegvoertuigen per 1 januari|Voertuigen met bromfietskenteken|Snorfiets;Wegvoertuigen per 1 januari|Voertuigen met bromfietskenteken|Bromfiets;Wegvoertuigen per 1 januari|Voertuigen met bromfietskenteken|Brommobiel;Wegvoertuigen per 1 januari|Voertuigen met bromfietskenteken|Overige voertuigen met bromfietskenteken
Groningen (gemeente);134083;92872;20674;12078;10484;407;332;804;51;8596;8095;501;6211;14326;9764;4262;123;177
Grootegast;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Grubbenvorst;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Gulpen-Wittem;11817;8258;1765;828;706;49;8;62;3;937;925;12;659;1135;686;426;21;2
Haaksbergen;20228;13113;4370;1775;1469;94;104;105;3;2595;2452;143;1374;1371;695;656;14;6
Haaren;13403;7981;3665;1617;1260;99;196;60;2;2048;1794;254;701;1056;530;499;20;7
Haarlem;87932;61949;9436;5717;4805;264;134;399;115;3719;3554;165;5342;11205;7595;3458;114;38
Haarlemmerliede en Spaarnwoude;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Haarlemmermeer;170177;117326;30769;20378;17376;1269;1220;466;47;10391;8866;1525;7234;14848;8603;6066;127;52
Haelen;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Halderberge;25081;16569;5094;2246;1774;147;216;100;9;2848;2493;355;1408;2010;1070;898;31;11
Den Ham;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hardenberg;52331;32342;13246;5558;4436;316;544;261;1;7688;6862;826;3639;3104;1440;1554;86;24
Harderwijk;33631;22317;6284;2804;2261;138;261;137;7;3480;3084;396;1764;3266;2454;771;36;5
Hardinxveld-Giessendam;13833;8535;3643;1625;1324;111;137;35;18;2018;1796;222;595;1060;529;498;28;5
Haren;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Harenkarspel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Harlingen;11300;7192;2252;1127;882;64;69;108;4;1125;1027;98;678;1178;640;488;40;10
Harmelen;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hasselt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hattem;9447;6098;1787;634;532;30;19;53;0;1153;1132;21;583;979;558;405;11;5
Heel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Heemskerk;27063;18699;3659;1698;1471;60;63;103;1;1961;1894;67;1683;3022;1845;1122;45;10
Heemstede;17042;13336;1427;687;582;62;4;38;1;740;713;27;740;1539;1076;441;18;4
Heerde;15991;9981;3344;1368;1139;82;74;71;2;1976;1901;75;987;1679;965;675;36;3
Heerenveen;41872;25962;10848;5431;2976;318;506;308;1323;5417;4471;946;2330;2732;1092;1565;65;10
Heerhugowaard;40671;27111;6763;3147;2712;137;104;190;4;3616;3465;151;2575;4222;2209;1971;31;11
Heerjansdam;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Heerlen;62729;44385;7759;3795;2957;264;294;271;9;3964;3069;895;3244;7341;4318;2774;212;37
Heeze-Leende;14057;9110;2982;1265;1059;64;66;73;3;1717;1619;98;846;1119;729;369;13;8
Heiloo;16005;11315;2296;952;818;44;14;76;0;1344;1330;14;1025;1369;853;497;14;5
Heino;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Helden;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Den Helder;37130;25054;4919;2222;1904;64;60;187;7;2697;2618;79;2378;4779;2796;1879;80;24
Hellendoorn;30176;19855;6334;2512;2060;115;168;159;10;3822;3615;207;1991;1996;997;958;32;9
Hellevoetsluis;31447;21434;4588;1996;1633;48;208;107;0;2592;2194;398;1756;3669;1986;1629;42;12
Helmond;63276;43494;9312;4528;3754;232;297;229;16;4784;4264;520;2940;7530;6009;1407;100;14
Hendrik-Ido-Ambacht;19690;14472;2474;1068;968;30;25;45;0;1406;1370;36;977;1767;1105;641;16;5
Hengelo (Gld.);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hengelo (O.);61458;42706;9831;4635;3964;233;200;228;10;5196;5014;182;3645;5276;3465;1739;50;22
's-Hertogenbosch;113697;80430;17281;9371;7845;657;323;538;8;7910;7335;575;4498;11488;9263;2029;159;37
Heteren;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Heumen;12408;8669;2220;829;679;27;64;59;0;1391;1323;68;660;859;586;257;13;3
Heusden;36024;24008;6804;3236;2668;180;242;143;3;3568;3256;312;1866;3346;2095;1156;84;11
Heythuysen;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hillegom;17580;11486;2882;1521;1073;133;260;55;0;1361;1079;282;1102;2110;1272;799;33;6
Hilvarenbeek;15593;8792;4899;1816;1264;142;327;82;1;3083;1718;1365;776;1126;527;569;25;5
Hilversum;57214;40587;7492;4871;3117;120;54;209;1371;2621;2564;57;3032;6103;3578;2407;73;45
Hoeksche Waard;70810;46493;14329;6354;5183;331;537;295;8;7975;6818;1157;3836;6152;2353;3650;130;19
Hof van Twente;30603;19511;7088;2919;2411;127;159;135;87;4169;3860;309;1763;2241;1100;1081;50;10
Het Hogeland;38194;24209;8586;3646;3094;125;184;228;15;4940;4677;263;2521;2878;1154;1598;84;42
Hollands Kroon;44771;26231;11948;5565;4172;407;673;294;19;6383;5552;831;3181;3411;1115;2166;105;25
Holten;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hontenisse;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hoogeveen;44878;27762;10300;4593;3784;209;316;232;52;5707;5298;409;2538;4278;3118;1067;86;7
Hoogezand-Sappemeer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hoorn;49861;32698;9939;5558;4963;216;145;231;3;4381;4198;183;2640;4584;2558;1929;77;20
Horst;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Horst aan de Maas;40695;24430;10273;3599;2690;287;391;209;22;6674;4375;2299;2529;3463;1627;1758;62;16
Houten;69223;55225;9455;6785;6391;157;141;95;1;2670;2509;161;1698;2845;1553;1249;29;14
Huissen;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Huizen;29959;22120;3805;1772;1559;31;37;145;0;2033;1985;48;1581;2453;1267;1133;42;11
Hulst;22928;16210;4051;1787;1423;104;180;79;1;2264;2031;233;1230;1437;541;829;51;16
Hummelo en Keppel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hunsel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
IJsselham;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
IJsselmuiden;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
IJsselstein;21093;15216;2875;1373;1214;63;47;49;0;1502;1453;49;1256;1746;833;866;34;13
Jacobswoude;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kaag en Braassem;22083;14062;4495;2187;1808;174;118;86;1;2308;2169;139;1396;2130;1001;1083;33;13
Kampen;37407;23017;8620;3732;2922;201;425;184;0;4888;4231;657;1959;3811;2579;1183;41;8
Kapelle;10833;6820;2372;1089;810;67;126;54;32;1283;1106;177;709;932;439;475;11;7
Katwijk;42001;26027;6510;3806;2755;516;419;109;7;2704;2288;416;2112;7352;6214;1046;69;23
Kerkrade;33576;23898;4331;2042;1582;119;226;91;24;2289;1711;578;1928;3419;1785;1515;109;10
Kessel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kesteren;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Koggenland;20954;12054;5524;2628;2097;184;187;135;25;2896;2656;240;1502;1874;701;1130;27;16
Kollumerland en Nieuwkruisland;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Korendijk;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Krimpen aan den IJssel;19610;13430;2814;1244;1034;87;61;62;0;1570;1498;72;1075;2291;1229;1023;29;10
Krimpenerwaard;45388;27464;11247;5115;3929;274;709;202;1;6132;4905;1227;2649;4028;1683;2249;63;33
Laarbeek;20162;12209;4544;2016;1572;161;172;110;1;2528;2282;246;1138;2271;1433;797;35;6
Landerd;14728;8995;3810;1697;1287;87;194;121;8;2113;1840;273;858;1065;617;420;19;9
Landgraaf;29078;21023;3609;1729;1374;93;136;126;0;1880;1719;161;1687;2759;1611;1050;88;10
Landsmeer;8713;5655;1335;607;525;19;22;41;0;728;696;32;591;1132;728;388;8;8
Langedijk;22910;14412;4359;1925;1525;131;146;123;0;2434;2166;268;1696;2443;1310;1089;33;11
Lansingerland;47376;30566;9246;4442;3305;308;626;194;9;4804;3626;1178;2354;5210;2767;2386;41;16
Laren (NH.);8626;6607;804;421;390;12;1;18;0;383;381;2;402;813;442;354;11;6
Leek;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Leerdam;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Leersum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Leeuwarden;78928;53712;13654;6439;5306;380;210;527;16;7215;6906;309;4173;7389;4547;2677;138;27
Leeuwarderadeel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Leiden;58820;39585;6039;3531;3059;137;51;283;1;2508;2455;53;2975;10221;7892;2212;65;52
Leiderdorp;18246;12922;1995;1074;956;48;39;31;0;921;854;67;1016;2313;1747;545;13;8
Leidschendam;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Leidschendam-Voorburg;48725;35656;5479;3429;3043;171;88;126;1;2050;1961;89;2281;5309;3422;1813;63;11
Lelystad;51314;35157;7566;3381;2963;87;74;247;10;4185;4086;99;2845;5746;4001;1634;90;21
Lemsterland;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Leudal;33332;21108;7282;3165;2531;234;228;157;15;4117;3746;371;2018;2924;1319;1543;49;13
Leusden;21772;15322;3215;1246;1085;32;26;102;1;1969;1946;23;1480;1755;1112;618;17;8
Lichtenvoorde;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Liemeer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
De Lier;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Liesveld;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Limmen;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lingewaal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lingewaard;36859;23819;6645;2792;2121;191;340;140;0;3853;3396;457;2180;4215;2988;1182;32;13
Lisse;16984;11624;2421;1259;1063;89;68;39;0;1162;1098;64;999;1940;1120;790;25;5
Lith;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Littenseradiel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lochem;28637;19098;5946;2310;1844;132;176;158;0;3636;3434;202;2059;1534;817;659;44;14
Loenen;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Loon op Zand;19006;12671;3417;1461;1254;74;37;95;1;1956;1914;42;1115;1803;1125;641;31;6
Loosdrecht;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lopik;13889;7574;4339;2041;1593;146;213;88;1;2298;1976;322;799;1177;418;735;21;3
Loppersum;8416;5158;1903;803;702;20;27;54;0;1100;1066;34;732;623;219;376;19;9
Losser;18529;12086;3519;1278;1056;55;74;82;11;2241;2128;113;1055;1869;1178;661;27;3
Maarn;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Maarssen;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Maartensdijk;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Maasbracht;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Maasbree;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Maasdonk;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Maasdriel;23655;13896;6301;3158;2409;219;310;149;71;3143;2760;383;1248;2210;1260;897;42;11
Maasgouw;20752;14004;3714;1736;1419;115;76;123;3;1978;1877;101;1243;1791;1007;750;29;5
Maasland;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Maassluis;20322;14898;2068;1043;910;35;46;52;0;1025;986;39;899;2457;1499;921;32;5
Maastricht;69729;45717;8075;4451;3669;295;213;262;12;3624;3292;332;2791;13146;9899;3034;167;46
Margraten;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Markelo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
De Marne;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Marum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Medemblik;41136;23399;11699;5451;3482;449;1243;274;3;6248;4505;1743;2573;3465;1268;2103;83;11
Meerlo-Wanssum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Meerssen;15716;10566;2329;1029;839;52;77;57;4;1300;1131;169;926;1895;1283;576;32;4
Meierijstad;73536;45070;18871;8867;6815;544;1081;390;37;10004;7519;2485;3911;5684;3463;2093;106;22
Meijel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Menaldumadeel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Menameradiel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Menterwolde;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Meppel;24100;16413;4451;1975;1570;111;189;90;15;2476;2291;185;1521;1715;921;767;23;4
Middelburg (Z.);33551;22725;5831;2873;1998;158;160;276;281;2958;2741;217;1752;3243;2000;1197;29;17
Middelharnis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Midden-Delfland;14974;9239;3017;1635;1240;135;119;130;11;1382;1266;116;853;1865;956;891;12;6
Midden-Drenthe;30395;18432;7795;3232;2743;113;196;177;3;4563;4261;302;2114;2054;1075;930;36;13
Midden-Groningen;50508;32283;10786;4074;3278;233;247;297;19;6712;6252;460;3309;4130;2087;1890;124;29
Mierlo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mill en Sint Hubert;11287;6641;2908;1221;988;82;91;60;0;1687;1409;278;697;1041;492;519;25;5
Millingen aan de Rijn;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Moerdijk;35115;21209;9911;4003;2635;285;876;164;43;5908;3280;2628;1893;2102;857;1167;61;17
Molenlanden;40029;22809;11393;5284;3851;384;803;237;9;6109;4857;1252;2063;3764;1640;2042;62;20
Molenwaard;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Monster;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Montferland;30484;19635;6364;2833;2221;217;255;125;15;3531;3024;507;1868;2617;1570;956;81;10
Montfoort;11093;6959;2768;1331;1085;115;89;42;0;1437;1325;112;556;810;378;420;9;3
Mook en Middelaar;6537;4622;1063;443;385;17;6;34;1;620;603;17;344;508;342;153;11;2
Moordrecht;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Muiden;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Naaldwijk;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Naarden;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Neder-Betuwe;20937;12360;5822;2846;2189;184;358;100;15;2976;2444;532;944;1811;856;883;60;12
Nederhorst den Berg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Nederlek;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Nederweert;16190;10163;3796;1720;1436;96;105;80;3;2076;1877;199;922;1309;763;510;29;7
Neede;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Neerijnen;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Niedorp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Nieuwegein;42458;29650;6414;3489;2912;151;195;217;14;2925;2677;248;2202;4192;2360;1765;51;16
Nieuwerkerk aan den IJssel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Nieuwkoop;26635;16187;6103;2988;2366;234;235;134;19;3115;2744;371;1747;2598;962;1588;38;10
Nieuw-Lekkerland;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Nieuwleusen;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Nijefurd;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Nijkerk;34877;21755;8259;3640;2853;341;307;137;2;4619;4227;392;1961;2902;1749;1084;58;11
Nijmegen;94930;68027;11480;6099;4524;446;574;525;30;5381;4128;1253;4526;10897;7956;2772;138;31
Nissewaard;58331;40288;7690;3211;2730;105;203;171;2;4479;3771;708;3344;7009;3236;3668;82;23
Noardeast-Fryslân;38022;23518;9078;4181;3498;228;209;244;2;4897;4612;285;2093;3333;1298;1904;115;16
Noord-Beveland;7179;4389;1578;767;678;17;21;50;1;811;789;22;439;773;390;358;19;6
Noordenveld;26569;17419;5512;1995;1653;77;105;155;5;3517;3362;155;1650;1988;970;977;30;11
Noorder-Koggenland;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Noordoostpolder;38588;24318;9208;4097;3500;137;219;226;15;5111;4772;339;2283;2779;1174;1546;47;12
Noordwijk;33321;21456;5079;2836;2231;246;129;146;84;2243;2089;154;1744;5042;3228;1768;38;8
Noordwijkerhout;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Nootdorp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Nuenen, Gerwen en Nederwetten;18625;12939;3149;1230;1066;49;49;65;1;1919;1857;62;964;1573;1158;392;16;7
Nunspeet;21326;13572;5102;2398;2055;129;104;95;15;2704;2602;102;1037;1615;1037;524;36;18
Nuth;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Obdam;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Oegstgeest;13830;10494;1249;585;425;38;85;37;0;664;584;80;627;1460;1014;421;15;10
Oirschot;17237;10748;3949;1843;1565;116;81;72;9;2106;1997;109;931;1609;1037;543;23;6
Oisterwijk;20305;13930;3591;1604;1325;94;94;91;0;1987;1819;168;1045;1739;1170;538;23;8
Oldambt;30665;20211;6155;2466;1994;139;162;163;8;3689;3462;227;2122;2177;1051;1031;87;8
Oldebroek;19749;11774;5258;2382;1819;188;229;139;7;2876;2621;255;1073;1644;1057;555;27;5
Oldenzaal;30412;20572;6937;2399;1685;131;415;143;25;4538;2502;2036;1103;1800;1152;615;25;8
Olst;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Olst-Wijhe;15388;9625;3150;1198;960;42;97;84;15;1952;1814;138;992;1621;855;732;23;11
Ommen;15621;9699;3925;1554;1270;77;119;86;2;2371;2222;149;1109;888;360;500;24;4
Onderbanken;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Oost Gelre;25561;15994;6446;3150;2366;299;257;217;11;3296;2985;311;1648;1473;742;676;44;11
Oostburg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Oosterhout;43932;30366;8246;3977;3006;308;417;230;16;4269;3329;940;2145;3175;1876;1230;61;8
Oostflakkee;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ooststellingwerf;23397;14140;5879;2419;1851;159;238;167;4;3460;3148;312;1814;1564;634;864;52;14
Oostzaan;8014;4901;1424;671;493;83;38;57;0;753;674;79;588;1101;713;372;10;6
Ootmarsum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Opmeer;10444;6329;2550;1186;980;58;54;93;1;1364;1302;62;800;765;242;488;28;7
Opsterland;26235;16393;5996;2454;2069;116;71;194;4;3542;3447;95;1806;2040;711;1268;49;12
