"Perioden";"Regio's";"Bevolking/Bevolkingssamenstelling op 1 januari/Totale bevolking (aantal)"
"2020";"Aa en Hunze";25445
"2020";"Aalburg";
"2020";"Aalsmeer";31859
"2020";"Aalten";27121
"2020";"Ter Aar";
"2020";"Aarle-Rixtel";
"2020";"Abcoude";
"2020";"Achtkarspelen";27843
"2020";"Akersloot";
"2020";"Alblasserdam";20165
"2020";"Albrandswaard";25590
"2020";"Alkemade";
"2020";"Alkmaar";109436
"2020";"Almelo";73107
"2020";"Almere";211893
"2020";"Alphen aan den Rijn";111897
"2020";"Alphen en Riel";
"2020";"Alphen-Chaam";10203
"2020";"Altena";55967
"2020";"Ambt Delden";
"2020";"Ambt Montfort";
"2020";"Ameland";3716
"2020";"Amerongen";
"2020";"Amersfoort";157276
"2020";"Ammerzoden";
"2020";"Amstelveen";91675
"2020";"Amsterdam";872757
"2020";"Andijk";
"2020";"Angerlo";
"2020";"Anloo";
"2020";"Anna Paulowna";
"2020";"Apeldoorn";163818
"2020";"Appingedam";11642
"2020";"Arcen en Velden";
"2020";"Arnemuiden";
"2020";"Arnhem";161348
"2020";"Assen";68599
"2020";"Asten";16721
"2020";"Avereest";
"2020";"Axel";
"2020";"Baarle-Nassau";6859
"2020";"Baarn";24868
"2020";"Bakel en Milheeze";
"2020";"Barendrecht";48714
"2020";"Barneveld";59082
"2020";"Bathmen";
"2020";"Bedum";
"2020";"Beek (L.)";15865
"2020";"Beek en Donk";
"2020";"Beekdaelen";35938
"2020";"Beemster";10022
"2020";"Beesel";13482
"2020";"Beilen";
"2020";"Belfeld";
"2020";"Bellingwedde";
"2020";"Bemmel";
"2020";"Bennebroek";
"2020";"Berg en Dal";34992
"2020";"Bergambacht";
"2020";"Bergeijk";18635
"2020";"Bergen (L.)";13085
"2020";"Bergen (NH.)";29839
"2020";"Bergen op Zoom";67496
"2020";"Bergeyk";
"2020";"Bergh";
"2020";"Bergschenhoek";
"2020";"Berkel en Rodenrijs";
"2020";"Berkel-Enschot";
"2020";"Berkelland";43747
"2020";"Berlicum";
"2020";"Bernheze";31240
"2020";"Bernisse";
"2020";"Best";29988
"2020";"Beuningen";25890
"2020";"Beverwijk";41626
"2020";"het Bildt";
"2020";"De Bilt";43137
"2020";"Binnenmaas";
"2020";"Bladel";20390
"2020";"Bladel en Netersel";
"2020";"Blaricum";11540
"2020";"Bleiswijk";
"2020";"Bloemendaal";23571
"2020";"Boarnsterhim";
"2020";"Bodegraven";
"2020";"Bodegraven-Reeuwijk";34872
"2020";"Boekel";10785
"2020";"Ten Boer";
"2020";"Bolsward";
"2020";"Borculo";
"2020";"Borger";
"2020";"Borger-Odoorn";25559
"2020";"Born";
"2020";"Borne";23312
"2020";"Borsele";22739
"2020";"Boskoop";
"2020";"Boxmeer";29365
"2020";"Boxtel";30801
"2020";"Brakel";
"2020";"Breda";184069
"2020";"Brederwiede";
"2020";"Breukelen";
"2020";"Brielle";17271
"2020";"Broekhuizen";
"2020";"Bronckhorst";36055
"2020";"Brouwershaven";
"2020";"Bruinisse";
"2020";"Brummen";20726
"2020";"Brunssum";27821
"2020";"Budel";
"2020";"Bunnik";15191
"2020";"Bunschoten";21866
"2020";"Buren";26749
"2020";"Bussum";
"2020";"Capelle aan den IJssel";67122
"2020";"Castricum";35986
"2020";"Chaam";
"2020";"Coevorden";35297
"2020";"Cothen";
"2020";"Cranendonck";21138
"2020";"Cromstrijen";
"2020";"Cuijk";25130
"2020";"Culemborg";28955
"2020";"Dalen";
"2020";"Dalfsen";28587
"2020";"Dantumadeel";
"2020";"Dantumadiel";18922
"2020";"Delft";103595
"2020";"Delfzijl";24678
"2020";"Denekamp";
"2020";"Deurne";32471
"2020";"Deventer";100719
"2020";"Didam";
"2020";"Diemen";30780
"2020";"Diepenheim";
"2020";"Diepenveen";
"2020";"Diessen";
"2020";"Diever";
"2020";"Dinkelland";26461
"2020";"Dinteloord en Prinsenland";
"2020";"Dinxperlo";
"2020";"Dirksland";
"2020";"Dodewaard";
"2020";"Doesburg";11077
"2020";"Doetinchem";58001
"2020";"Domburg";
"2020";"Dongen";26222
"2020";"Dongeradeel";
"2020";"Doorn";
"2020";"Dordrecht";119284
"2020";"Drechterland";19719
"2020";"Driebergen-Rijsenburg";
"2020";"Drimmelen";27272
"2020";"Dronten";41555
"2020";"Drunen";
"2020";"Druten";18926
"2020";"Duiveland";
"2020";"Duiven";25126
"2020";"Den Dungen";
"2020";"Dussen";
"2020";"Dwingeloo";
"2020";"Echt";
"2020";"Echteld";
"2020";"Echt-Susteren";31610
"2020";"Edam-Volendam";36197
"2020";"Ede";117165
"2020";"Eelde";
"2020";"Eemnes";9247
"2020";"Eemsdelta";
"2020";"Eemsmond";
"2020";"Eersel";19313
"2020";"Egmond";
"2020";"Eibergen";
"2020";"Eijsden";
"2020";"Eijsden-Margraten";25768
"2020";"Eindhoven";234394
"2020";"Elburg";23161
"2020";"Elst";
"2020";"Emmen";107048
"2020";"Enkhuizen";18591
"2020";"Enschede";159640
"2020";"Epe";33178
"2020";"Ermelo";27008
"2020";"Esch";
"2020";"Etten-Leur";43878
"2020";"Ferwerderadeel";
"2020";"Ferwerderadiel";
"2020";"Fijnaart en Heijningen";
"2020";"Franekeradeel";
"2020";"De Friese Meren";
"2020";"De Fryske Marren";51564
"2020";"Gaasterlân-Sleat";
"2020";"Gasselte";
"2020";"Geertruidenberg";21544
"2020";"Geldermalsen";
"2020";"Geldrop";
"2020";"Geldrop-Mierlo";39726
"2020";"Geleen";
"2020";"Gemert";
"2020";"Gemert-Bakel";30723
"2020";"Gendringen";
"2020";"Gendt";
"2020";"Genemuiden";
"2020";"Gennep";16921
"2020";"Giessenlanden";
"2020";"Gieten";
"2020";"Gilze en Rijen";26431
"2020";"Goedereede";
"2020";"Goeree-Overflakkee";50049
"2020";"Goes";38082
"2020";"Goirle";23904
"2020";"Gooise Meren";58055
"2020";"Goor";
"2020";"Gorinchem";37022
"2020";"Gorssel";
"2020";"Gouda";73427
"2020";"Graafstroom";
"2020";"Graft-De Rijp";
"2020";"Gramsbergen";
"2020";"Grave";12436
"2020";"'s-Graveland";
"2020";"'s-Gravendeel";
"2020";"'s-Gravenhage (gemeente)";545838
"2020";"'s-Gravenmoer";
"2020";"'s-Gravenzande";
"2020";"Groenlo";
"2020";"Groesbeek";
"2020";"Groningen (gemeente)";232874
"2020";"Grootegast";
"2020";"Grubbenvorst";
"2020";"Gulpen";
"2020";"Gulpen-Wittem";14171
"2020";"Haaksbergen";24311
"2020";"Haaren";14370
"2020";"Haarlem";162902
"2020";"Haarlemmerliede en Spaarnwoude";
"2020";"Haarlemmermeer";156002
"2020";"Haelen";
"2020";"Halderberge";30284
"2020";"Halsteren";
"2020";"Den Ham";
"2020";"Hardenberg";60948
"2020";"Harderwijk";48414
"2020";"Hardinxveld-Giessendam";18295
"2020";"Haren";
"2020";"Harenkarspel";
"2020";"Harlingen";15722
"2020";"Harmelen";
"2020";"Hasselt";
"2020";"Hattem";12209
"2020";"Havelte";
"2020";"Hedel";
"2020";"Heel";
"2020";"Heemskerk";39182
"2020";"Heemstede";27234
"2020";"Heerde";18589
"2020";"Heerenveen";50493
"2020";"Heerewaarden";
"2020";"Heerhugowaard";57587
"2020";"Heerjansdam";
"2020";"Heerlen";87086
"2020";"Heesch";
"2020";"Heeze";
"2020";"Heeze-Leende";16152
"2020";"Heiloo";23968
"2020";"Heino";
"2020";"Helden";
"2020";"Den Helder";56296
"2020";"Hellendoorn";35916
"2020";"Hellevoetsluis";40142
"2020";"Helmond";92423
"2020";"Helvoirt";
"2020";"Hendrik-Ido-Ambacht";31202
"2020";"Hengelo (Gld.)";
"2020";"Hengelo (O.)";81140
"2020";"'s-Hertogenbosch";155111
"2020";"Heteren";
"2020";"Heumen";16454
"2020";"Heusden";44692
"2020";"Heythuysen";
"2020";"Hillegom";22209
"2020";"Hilvarenbeek";15518
"2020";"Hilversum";90831
"2020";"Hoeksche Waard";87401
"2020";"Hoevelaken";
"2020";"Hoeven";
"2020";"Hof van Twente";35017
"2020";"Het Hogeland";47801
"2020";"Hollands Kroon";48432
"2020";"Holten";
"2020";"Hontenisse";
"2020";"Hooge en Lage Mierde";
"2020";"Hooge en Lage Zwaluwe";
"2020";"Hoogeloon, Hapert en Casteren";
"2020";"Hoogeveen";55699
"2020";"Hoogezand-Sappemeer";
"2020";"Hoorn";73261
"2020";"Horst";
"2020";"Horst aan de Maas";42429
"2020";"Houten";50146
"2020";"Huijbergen";
"2020";"Huissen";
"2020";"Huizen";41273
"2020";"Hulst";27556
"2020";"Hummelo en Keppel";
"2020";"Hunsel";
"2020";"IJsselham";
"2020";"IJsselmuiden";
"2020";"IJsselstein";34109
"2020";"Jacobswoude";
"2020";"Kaag en Braassem";27297
"2020";"Kampen";54319
"2020";"Kapelle";12695
"2020";"Katwijk";65753
"2020";"Kerkrade";45749
"2020";"Kerkwijk";
"2020";"Kessel";
"2020";"Kesteren";
"2020";"Klundert";
"2020";"Koggenland";22749
"2020";"Kollumerland en Nieuwkruisland";
"2020";"Korendijk";
"2020";"Krimpen aan den IJssel";29526
"2020";"Krimpenerwaard";56319
"2020";"Laarbeek";22523
"2020";"Landerd";15730
"2020";"Landgraaf";37445
"2020";"Landsmeer";11491
"2020";"Langbroek";
"2020";"Langedijk";28163
"2020";"Lansingerland";62384
"2020";"Laren (NH.)";11280
"2020";"Leek";
"2020";"Leende";
"2020";"Leerdam";
"2020";"Leersum";
"2020";"Leeuwarden";124084
"2020";"Leeuwarderadeel";
"2020";"Leiden";125099
"2020";"Leiderdorp";27056
"2020";"Leidschendam";
"2020";"Leidschendam-Voorburg";76534
"2020";"Lelystad";78598
"2020";"Lemsterland";
"2020";"Leudal";35879
"2020";"Leusden";30401
"2020";"Lichtenvoorde";
"2020";"Liemeer";
"2020";"Liempde";
"2020";"Lienden";
"2020";"De Lier";
"2020";"Lieshout";
"2020";"Liesveld";
"2020";"Limmen";
"2020";"Lingewaal";
"2020";"Lingewaard";46601
"2020";"Lisse";22955
"2020";"Lith";
"2020";"Littenseradiel";
"2020";"Lochem";33729
"2020";"Loenen";
"2020";"Loon op Zand";23408
"2020";"Loosdrecht";
"2020";"Lopik";14467
"2020";"Loppersum";9537
"2020";"Losser";22683
"2020";"Luyksgestel";
"2020";"Maarheeze";
"2020";"Maarn";
"2020";"Maarssen";
"2020";"Maartensdijk";
"2020";"Maasbracht";
"2020";"Maasbree";
"2020";"Maasdonk";
"2020";"Maasdriel";25030
"2020";"Maasgouw";23965
"2020";"Maasland";
"2020";"Maassluis";33213
"2020";"Maastricht";121575
"2020";"Made";
"2020";"Made en Drimmelen";
"2020";"Margraten";
"2020";"Mariekerke";
"2020";"Markelo";
"2020";"De Marne";
"2020";"Marum";
"2020";"Maurik";
"2020";"Medemblik";45101
"2020";"Meerlo-Wanssum";
"2020";"Meerssen";18828
"2020";"Meierijstad";81194
"2020";"Meijel";
"2020";"Menaldumadeel";
"2020";"Menameradiel";
"2020";"Menterwolde";
"2020";"Meppel";33920
"2020";"Middelburg (Z.)";48822
"2020";"Middelharnis";
"2020";"Midden-Delfland";19341
"2020";"Midden-Drenthe";33185
"2020";"Midden-Groningen";60797
"2020";"Middenschouwen";
"2020";"Middenveld";
"2020";"Mierlo";
"2020";"Mill en Sint Hubert";10939
"2020";"Millingen aan de Rijn";
"2020";"Moerdijk";37129
"2020";"Moergestel";
"2020";"Molenlanden";43909
"2020";"Molenwaard";
"2020";"Monster";
"2020";"Montferland";36011
"2020";"Montfoort";13917
"2020";"Mook en Middelaar";7847
"2020";"Moordrecht";
"2020";"Muiden";
"2020";"Naaldwijk";
"2020";"Naarden";
"2020";"Neder-Betuwe";24339
"2020";"Nederhorst den Berg";
"2020";"Nederlek";
"2020";"Nederweert";17019
"2020";"Neede";
"2020";"Neerijnen";
"2020";"Niedorp";
"2020";"Nieuwegein";63462
"2020";"Nieuwerkerk aan den IJssel";
"2020";"Nieuw-Ginneken";
"2020";"Nieuwkoop";28811
"2020";"Nieuw-Lekkerland";
"2020";"Nieuwleusen";
"2020";"Nieuw-Vossemeer";
"2020";"Nijefurd";
"2020";"Nijeveen";
"2020";"Nijkerk";43171
"2020";"Nijmegen";177659
"2020";"Nissewaard";85219
"2020";"Noardeast-Fryslân";45228
"2020";"Noord-Beveland";7392
"2020";"Noordenveld";31253
"2020";"Noorder-Koggenland";
"2020";"Noordoostpolder";47291
"2020";"Noordwijk";43508
"2020";"Noordwijkerhout";
"2020";"Nootdorp";
"2020";"Norg";
"2020";"Nuenen, Gerwen en Nederwetten";23383
"2020";"Nunspeet";27851
"2020";"Nuth";
"2020";"Obdam";
"2020";"Odoorn";
"2020";"Oegstgeest";24840
"2020";"Oirschot";18714
"2020";"Oisterwijk";26245
"2020";"Oldambt";38209
"2020";"Oldebroek";23646
"2020";"Oldenzaal";31836
"2020";"Olst";
"2020";"Olst-Wijhe";18252
"2020";"Ommen";18009
"2020";"Onderbanken";
"2020";"Oost Gelre";29627
"2020";"Oost-, West- en Middelbeers";
"2020";"Oostburg";
"2020";"Oosterhesselen";
"2020";"Oosterhout";55982
"2020";"Oostflakkee";
"2020";"Ooststellingwerf";25469
"2020";"Oostzaan";9735
"2020";"Ootmarsum";
"2020";"Opmeer";11836
"2020";"Opsterland";29733
"2020";"Oss";91915
"2020";"Ossendrecht";
"2020";"Oud en Nieuw Gastel";
"2020";"Oud-Beijerland";
"2020";"Oude IJsselstreek";39388
"2020";"Oudenbosch";
"2020";"Ouder-Amstel";14026
"2020";"Ouderkerk";
"2020";"Oudewater";10230
"2020";"Overbetuwe";47906
"2020";"Papendrecht";32136
"2020";"Peel en Maas";43425
"2020";"Peize";
"2020";"Pekela";12196
"2020";"Pijnacker";
"2020";"Pijnacker-Nootdorp";55308
"2020";"Prinsenbeek";
"2020";"Purmerend";81249
"2020";"Putte";
"2020";"Putten";24112
"2020";"Raalte";37712
"2020";"Raamsdonk";
"2020";"Ravenstein";
"2020";"Reeuwijk";
"2020";"Reiderland";
"2020";"Reimerswaal";22730
"2020";"Renkum";31419
"2020";"Renswoude";5444
"2020";"Reusel";
"2020";"Reusel-De Mierden";13112
"2020";"Rheden";43761
"2020";"Rhenen";20119
"2020";"Ridderkerk";46189
"2020";"Riethoven";
"2020";"Rijnsburg";
"2020";"Rijnwaarden";
"2020";"Rijnwoude";
"2020";"Rijsbergen";
"2020";"Rijssen";
"2020";"Rijssen-Holten";38177
"2020";"Rijswijk (ZH.)";54450
"2020";"Roden";
"2020";"Roerdalen";20574
"2020";"Roermond";58260
"2020";"Roggel en Neer";
"2020";"Rolde";
"2020";"De Ronde Venen";44456
"2020";"Roosendaal";77251
"2020";"Roosendaal en Nispen";
"2020";"Rosmalen";
"2020";"Rossum";
"2020";"Rotterdam";651157
"2020";"Rozenburg";
"2020";"Rozendaal";1704
"2020";"Rucphen";22878
"2020";"Ruinen";
"2020";"Ruinerwold";
"2020";"Ruurlo";
"2020";"Sas van Gent";
"2020";"Sassenheim";
"2020";"Schagen";46483
"2020";"Scheemda";
"2020";"Schermer";
"2020";"Scherpenzeel";9880
"2020";"Schiedam";78730
"2020";"Schiermonnikoog";947
"2020";"Schijndel";
"2020";"Schinnen";
"2020";"Schipluiden";
"2020";"Schoonebeek";
"2020";"Schoonhoven";
"2020";"Schoorl";
"2020";"Schouwen-Duiveland";33839
"2020";"Sevenum";
"2020";"Simpelveld";10555
"2020";"Sint Anthonis";11664
"2020";"Sint-Michielsgestel";29208
"2020";"Sint-Oedenrode";
"2020";"Sittard";
"2020";"Sittard-Geleen";92429
"2020";"Skarsterlân";
"2020";"Sleen";
"2020";"Sliedrecht";25220
"2020";"Slochteren";
"2020";"Sluis";23210
"2020";"Sluis-Aardenburg";
"2020";"Smallingerland";56150
"2020";"Smilde";
"2020";"Sneek";
"2020";"Soest";46606
"2020";"Someren";19368
"2020";"Son en Breugel";17322
"2020";"Spijkenisse";
"2020";"Sprang-Capelle";
"2020";"St. Anthonis";
"2020";"Stad Delden";
"2020";"Stadskanaal";31686
"2020";"Standdaarbuiten";
"2020";"Staphorst";17145
"2020";"Stede Broec";21726
"2020";"Steenbergen";24416
"2020";"Steenderen";
"2020";"Steenwijk";
"2020";"Steenwijkerland";44126
"2020";"Stein (L.)";25007
"2020";"Stichtse Vecht";64931
"2020";"Stramproy";
"2020";"Strijen";
"2020";"Súdwest-Fryslân";89987
"2020";"Susteren";
"2020";"Swalmen";
"2020";"Tegelen";
"2020";"Terheijden";
"2020";"Terneuzen";54426
"2020";"Terschelling";4888
"2020";"Teteringen";
"2020";"Texel";13575
"2020";"Teylingen";37440
"2020";"Tholen";25757
"2020";"Thorn";
"2020";"Tiel";42159
"2020";"Tilburg";219789
"2020";"Tubbergen";21275
"2020";"Twenterand";33743
"2020";"Tynaarlo";33887
"2020";"Tytsjerksteradiel";32052
"2020";"Ubbergen";
"2020";"Uden";42119
"2020";"Udenhout";
"2020";"Uitgeest";13666
"2020";"Uithoorn";29478
"2020";"Urk";21031
"2020";"Utrecht (gemeente)";357597
"2020";"Utrechtse Heuvelrug";49580
"2020";"Vaals";10105
"2020";"Valburg";
"2020";"Valkenburg (ZH.)";
"2020";"Valkenburg aan de Geul";16367
"2020";"Valkenisse";
"2020";"Valkenswaard";31193
"2020";"Veendam";27384
"2020";"Veenendaal";66493
"2020";"Veere";21880
"2020";"Veghel";
"2020";"Veldhoven";45466
"2020";"Velsen";68648
"2020";"Venhuizen";
"2020";"Venlo";101802
"2020";"Venray";43614
"2020";"Vessem, Wintelre en Knegsel";
"2020";"Vianen";
"2020";"Vierlingsbeek";
"2020";"Vijfheerenlanden";56811
"2020";"Vlaardingen";73397
"2020";"Vlagtwedde";
"2020";"Vledder";
"2020";"Vleuten-De Meern";
"2020";"Vlieland";1155
"2020";"Vlijmen";
"2020";"Vlissingen";44360
"2020";"Vlist";
"2020";"Voerendaal";12475
"2020";"Voorburg";
"2020";"Voorhout";
"2020";"Voorschoten";25596
"2020";"Voorst";24552
"2020";"Vorden";
"2020";"Vries";
"2020";"Vriezenveen";
"2020";"Vught";26558
"2020";"Waadhoeke";46090
"2020";"Waalre";17456
"2020";"Waalwijk";48637
"2020";"Waddinxveen";29291
"2020";"Wageningen";39664
"2020";"Warmond";
"2020";"Warnsveld";
"2020";"Waspik";
"2020";"Wassenaar";26305
"2020";"Wateringen";
"2020";"Waterland";17424
"2020";"Weerselo";
"2020";"Weert";50105
"2020";"Weesp";19738
"2020";"Wehl";
"2020";"Werkendam";
"2020";"Wervershoof";
"2020";"West Betuwe";51128
"2020";"West Maas en Waal";19324
"2020";"Westerbork";
"2020";"Westerhoven";
"2020";"Wester-Koggenland";
"2020";"Westerkwartier";63329
"2020";"Westerschouwen";
"2020";"Westerveld";19460
"2020";"Westervoort";14971
"2020";"Westerwolde";25733
"2020";"Westkapelle";
"2020";"Westland";110375
"2020";"Weststellingwerf";25914
"2020";"Westvoorne";14731
"2020";"Wierden";24446
"2020";"Wieringen";
"2020";"Wieringermeer";
"2020";"Wijchen";41110
"2020";"Wijdemeren";24358
"2020";"Wijhe";
"2020";"De Wijk";
"2020";"Wijk bij Duurstede";23914
"2020";"Willemstad";
"2020";"Winschoten";
"2020";"Winsum";
"2020";"Winterswijk";28854
"2020";"Wisch";
"2020";"Wittem";
"2020";"Woensdrecht";21876
"2020";"Woerden";52299
"2020";"Wognum";
"2020";"De Wolden";24330
"2020";"Wormerland";16270
"2020";"Woudenberg";13362
"2020";"Woudrichem";
"2020";"Wouw";
"2020";"Wûnseradiel";
"2020";"Wymbritseradiel";
"2020";"Zaanstad";156794
"2020";"Zaltbommel";28881
"2020";"Zandvoort";17116
"2020";"Zederik";
"2020";"Zeevang";
"2020";"Zeewolde";22653
"2020";"Zeist";64905
"2020";"Zelhem";
"2020";"Zevenaar";43750
"2020";"Zevenbergen";
"2020";"Zevenhuizen-Moerkapelle";
"2020";"Zierikzee";
"2020";"Zijpe";
"2020";"Zoetermeer";125285
"2020";"Zoeterwoude";8605
"2020";"Zuidhorn";
"2020";"Zuidlaren";
"2020";"Zuidplas";43885
"2020";"Zuidwolde";
"2020";"Zundert";21829
"2020";"Zutphen";47934
"2020";"Zwartewaterland";22685
"2020";"Zwartsluis";
"2020";"Zweeloo";
"2020";"Zwijndrecht";44737
"2020";"Zwolle";128840
